    n, insertion_cmp, insertion_swaps, insertion_time, quick_cmp, quick_swaps, quick_time, icantbelieveitcansort_cmp, icantbelieveitcansort_swaps, icantbelieveitcansort_time, heapsort_cmp, heapsort_swaps, heapsort_time
 4740,      11138845,         5562319,           5640,    224028,       16643,        342,                  44944681,                     5453267,                      15677,       276801,         125043,           443
 4741,      11143464,         5564627,           5708,    213494,       16758,        341,                  44963645,                     5455512,                      15597,       276601,         124871,           368
 4742,      11145373,         5565580,           5586,    215250,       16729,        340,                  44982613,                     5456445,                      15575,       276917,         125010,           364
 4743,      11152924,         5569354,           5695,    215187,       16670,        341,                  45001585,                     5460122,                      15533,       277132,         125171,           512
 4744,      11158703,         5572242,           5665,    212099,       16713,        343,                  45020561,                     5462935,                      15833,       277107,         125159,           366
 4745,      11161630,         5573704,           5590,    214669,       16652,        341,                  45039541,                     5464356,                      15793,       277204,         125215,           365
 4746,      11162405,         5574090,           5890,    211754,       16757,        346,                  45058525,                     5464733,                      15569,       277327,         125200,           367
 4747,      11170696,         5578234,           5609,    216349,       16658,        340,                  45077513,                     5468768,                      15722,       277333,         125211,           367
 4748,      11174891,         5580330,           5599,    216905,       16687,        398,                  45096505,                     5470805,                      16236,       277574,         125360,           368
 4749,      11178912,         5582339,           5676,    216727,       16732,        344,                  45115501,                     5472757,                      15480,       277391,         125244,           369
 4750,      11178955,         5582359,           5610,    219656,       16518,        337,                  45134501,                     5472777,                      16013,       277672,         125394,           366
 4751,      11183026,         5584393,           5645,    214180,       16627,        341,                  45153505,                     5474754,                      15739,       277509,         125295,           365
 4752,      11189735,         5587746,           6015,    215514,       16675,        346,                  45172513,                     5478021,                      15802,       277557,         125305,           364
 4753,      11192500,         5589127,           5668,    212153,       16793,        344,                  45191525,                     5479364,                      16033,       277668,         125345,           365
 4754,      11198947,         5592349,           5641,    215485,       16774,        341,                  45210541,                     5482502,                      15642,       277844,         125506,           366
 4755,      11202810,         5594279,           5793,    218384,       16748,        357,                  45229561,                     5484376,                      15823,       277883,         125530,           365
 4756,      11205585,         5595665,           5612,    214617,       16767,        347,                  45248585,                     5485724,                      15773,       277900,         125439,           365
 4757,      11214408,         5600075,           5617,    218414,       16635,        340,                  45267613,                     5490022,                      16042,       278121,         125612,           368
 4758,      11217049,         5601394,           6168,    215374,       16778,        343,                  45286645,                     5491304,                      15853,       278098,         125602,           367
 4759,      11219778,         5602757,           5640,    214400,       16751,        353,                  45305681,                     5492629,                      15971,       278041,         125520,           365
 4760,      11226893,         5606313,           5686,    215100,       16785,        344,                  45324721,                     5496092,                      15653,       278029,         125533,           364
 4761,      11230452,         5608091,           5775,    215944,       16745,        343,                  45343765,                     5497821,                      15644,       278103,         125604,           368
 4762,      11238061,         5611894,           5661,    213708,       16869,        343,                  45362813,                     5501526,                      16514,       278175,         125601,           372
 4763,      11244308,         5615016,           5648,    214484,       16834,        343,                  45381865,                     5504568,                      16573,       278466,         125734,           365
 4764,      11246925,         5616323,           5873,    215447,       16755,        342,                  45400921,                     5505838,                      15368,       278395,         125699,           366
 4765,      11255516,         5620617,           5636,    215773,       16743,        338,                  45419981,                     5510023,                      15913,       278281,         125643,           366
